DATE,INV,GDP,CONS,UN1,UN2
01/04/72,721.647,5118.3,3170.2,5.7,5.67896714769285
01/07/72,731.894,5165.4,3219.1,5.6,5.65680222573328
01/10/72,736.484,5251.2,3294.6,5.4,4.99149357816585
01/01/73,779.645,5380.5,3354.8,4.9,5.50788604308806
01/04/73,812.878,5441.5,3353.4,4.9,4.92499419815863
01/07/73,783.403,5411.9,3365.3,4.8,4.87088019619630
01/10/73,811.308,5462.4,3355.5,4.8,4.49924254057389
01/01/74,764.976,5417,3326.2,5.1,5.64749740234098
01/04/74,761.923,5431.3,3337.9,5.2,5.18144233311006
01/07/74,722.434,5378.7,3351.6,5.6,5.64211191724259
01/10/74,726.819,5357.2,3302.5,6.6,6.23718284532873
01/01/75,609.744,5292.4,3330.1,8.3,9.20531866727710
01/04/75,591.591,5333.2,3385.7,8.9,8.76118042502301
01/07/75,637.454,5421.4,3434.1,8.5,8.42685297230121
01/10/75,655.247,5494.4,3470.5,8.3,7.85250563029912
01/01/76,718.469,5618.5,3539.9,7.7,8.59024023559288
01/04/76,746.906,5661,3572.4,7.6,7.45262237422393
01/07/76,749.51,5689.8,3610.3,7.7,7.68896164518185
01/10/76,755.119,5732.5,3657.5,7.8,7.41442428746723
01/01/77,790.107,5799.2,3699.3,7.5,8.29535036216118
01/04/77,846.752,5913,3719.7,7.1,7.01223787939968
01/07/77,889.601,6017.6,3755.2,6.9,6.89888996327390
01/10/77,867.284,6018.2,3811.8,6.7,6.32354100352778
01/01/78,884.186,6039.2,3833.8,6.3,6.93048218937782
01/04/78,941.615,6274,3915.6,6,5.90173752311366
01/07/78,969.053,6335.3,3932,6,6.05534023989397
01/10/78,991.471,6420.3,3963.5,5.9,5.64923289807898
01/01/79,993.13,6433,3983.6,5.9,6.38875900678563
01/04/79,992.232,6440.8,3981.3,5.7,5.67521889669628
01/07/79,975.505,6487.1,4020.4,5.9,5.89883778030494
01/10/79,958.17,6503.9,4031.2,6,5.73249107327755
01/01/80,951.572,6524.9,4025,6.3,6.86567307856811
01/04/80,870.674,6392.6,3934.5,7.3,7.30237199614096
01/07/80,813.266,6382.9,3976.9,7.7,7.65749090070132
01/10/80,889.175,6501.2,4029.6,7.4,7.19733136724848
01/01/81,971.65,6635.7,4050.8,7.4,8.09969055475206
01/04/81,931.326,6587.3,4050.1,7.4,7.40015320122501
01/07/81,983.54,6662.9,4066.4,7.4,7.40833343540092
01/10/81,948.409,6585.1,4035.9,8.2,8.05694613026090
01/01/82,854.889,6475,4062.6,8.8,9.66509722220728
01/04/82,853.798,6510.2,4077.6,9.4,9.49395647681526
01/07/82,845.737,6486.8,4109.1,9.9,9.85930366553104
01/10/82,780.325,6493.1,4184.1,10.7,10.42507161787620
01/01/83,807.499,6578.2,4224.8,10.4,11.36691603103610
01/04/83,879.12,6728.3,4308.4,10.1,10.17411832753750
01/07/83,934.228,6860,4384,9.4,9.25469244268433
01/10/83,1025.13,7001.5,4453.1,8.5,8.32616380714619
01/01/84,1124.157,7140.6,4490.9,7.9,8.57829867236943
01/04/84,1160.68,7266,4554.9,7.4,7.51436741955910
01/07/84,1185.779,7337.5,4589.9,7.4,7.39408119325686
01/10/84,1170.394,7396,4650.6,7.3,7.06290156284677
01/01/85,1138.315,7469.5,4729.7,7.2,7.91848208416281
01/04/85,1157.711,7537.9,4774.1,7.3,7.30973934631703
01/07/85,1149.823,7655.2,4865.8,7.2,7.15985793660051
01/10/85,1192.204,7712.6,4878.3,7,6.82835753869120
