1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
2,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
3,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
4,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
5,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0
6,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0
7,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0
8,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0
9,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0
10,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0
11,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0
12,109.0,109.0,108.0,110.0,109.0,109.0,108.0,108.0,108.0,109.0
13,98.0,97.0,98.0,102.0,100.0,98.0,96.0,97.0,97.0,100.0
14,87.0,87.0,87.0,91.0,91.0,89.0,86.0,85.0,87.0,90.0
15,76.0,78.0,77.0,81.0,83.0,79.0,80.0,76.0,81.0,80.0
16,64.0,71.0,66.0,71.0,78.0,68.0,69.0,65.0,73.0,71.0
17,54.0,64.0,55.0,65.0,68.0,57.0,58.0,57.0,62.0,62.0
18,45.0,55.0,50.0,54.0,59.0,46.0,46.0,45.0,51.0,54.0
19,36.0,47.0,41.0,44.0,49.0,35.0,34.0,38.0,40.0,45.0
20,26.0,37.0,37.0,36.0,43.0,26.0,25.0,26.0,33.0,36.0
21,26.0,37.0,37.0,36.0,43.0,26.0,29.0,28.0,35.0,36.0
22,27.0,36.0,37.0,35.0,42.0,26.0,30.0,32.0,36.0,37.0
23,27.0,37.0,35.0,35.0,40.0,25.0,30.0,32.0,35.0,42.0
24,21.0,34.0,31.0,28.0,35.0,20.0,30.0,27.0,28.0,28.0
25,21.0,34.0,29.0,27.0,35.0,19.0,32.0,28.0,28.0,28.0
26,21.0,34.0,29.0,29.0,35.0,20.0,34.0,28.0,28.0,30.0
27,18.0,29.0,25.0,27.0,26.0,20.0,32.0,27.0,26.0,27.0
28,18.0,28.0,25.0,27.0,26.0,20.0,32.0,26.0,27.0,27.0
29,19.0,28.0,25.0,28.0,25.0,21.0,33.0,26.0,27.0,24.0
30,18.0,28.0,24.0,30.0,26.0,21.0,33.0,25.0,27.0,23.0
31,19.0,28.0,23.0,33.0,31.0,21.0,33.0,26.0,27.0,22.0
32,21.0,28.0,23.0,33.0,34.0,23.0,32.0,26.0,27.0,20.0
33,22.0,28.0,23.0,32.0,36.0,24.0,32.0,26.0,31.0,20.0
34,23.0,25.0,22.0,33.0,34.0,21.0,29.0,27.0,33.0,18.0
35,22.0,25.0,24.0,33.0,33.0,25.0,28.0,29.0,33.0,19.0
36,22.0,25.0,24.0,28.0,32.0,22.0,28.0,30.0,29.0,20.0
37,22.0,26.0,26.0,28.0,31.0,21.0,27.0,33.0,29.0,23.0
38,21.0,25.0,29.0,26.0,31.0,21.0,27.0,33.0,27.0,27.0
39,21.0,24.0,30.0,25.0,27.0,20.0,27.0,34.0,27.0,29.0
40,20.0,23.0,32.0,25.0,27.0,19.0,28.0,35.0,28.0,30.0
41,21.0,25.0,32.0,24.0,27.0,19.0,28.0,35.0,29.0,29.0
42,21.0,26.0,33.0,24.0,28.0,19.0,28.0,35.0,27.0,29.0
43,23.0,26.0,32.0,24.0,29.0,19.0,26.0,35.0,25.0,29.0
44,23.0,26.0,32.0,24.0,27.0,19.0,26.0,35.0,23.0,29.0
45,24.0,26.0,30.0,24.0,26.0,19.0,26.0,34.0,20.0,26.0
46,24.0,26.0,29.0,24.0,26.0,19.0,25.0,42.0,19.0,26.0
47,23.0,26.0,28.0,24.0,26.0,19.0,26.0,43.0,18.0,26.0
48,23.0,26.0,26.0,24.0,26.0,19.0,26.0,43.0,19.0,26.0
49,23.0,28.0,26.0,28.0,26.0,19.0,25.0,42.0,21.0,24.0
