1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,101.0,103.0,103.0,102.0,102.0,101.0,99.0,101.0,101.0,100.0,102.0,100.0,106.0,99.0,103.0,102.0,103.0,103.0,104.0,101.0
3,91.0,97.0,90.0,91.0,95.0,111.0,108.0,96.0,91.0,110.0,90.0,99.0,94.0,100.0,95.0,105.0,94.0,102.0,103.0,89.0
4,56.0,34.0,16.0,3.0,23.0,9.0,41.0,27.0,48.0,20.0,26.0,11.0,9.0,24.0,8.0,16.0,19.0,15.0,0.0,12.0
5,73.0,78.0,18.0,17.0,3.0,1.0,10.0,28.0,23.0,10.0,8.0,7.0,2.0,1.0,0.0,17.0,49.0,43.0,5.0,24.0
6,93.0,90.0,73.0,87.0,85.0,104.0,86.0,74.0,77.0,82.0,80.0,91.0,99.0,88.0,102.0,78.0,79.0,77.0,106.0,72.0
7,71.0,19.0,6.0,26.0,47.0,12.0,80.0,74.0,78.0,19.0,42.0,7.0,70.0,37.0,6.0,44.0,28.0,53.0,10.0,10.0
8,91.0,75.0,66.0,62.0,69.0,66.0,82.0,78.0,80.0,61.0,66.0,67.0,76.0,67.0,70.0,68.0,68.0,75.0,68.0,62.0
9,92.0,76.0,60.0,64.0,70.0,64.0,84.0,80.0,82.0,64.0,68.0,62.0,78.0,68.0,62.0,70.0,70.0,76.0,64.0,60.0
10,96.0,78.0,62.0,66.0,72.0,66.0,86.0,82.0,84.0,64.0,70.0,64.0,80.0,70.0,64.0,72.0,72.0,78.0,66.0,62.0
11,98.0,80.0,64.0,68.0,74.0,68.0,88.0,84.0,86.0,66.0,72.0,66.0,82.0,72.0,66.0,74.0,74.0,80.0,68.0,62.0
12,100.0,82.0,64.0,70.0,76.0,70.0,90.0,86.0,88.0,68.0,74.0,66.0,84.0,74.0,68.0,76.0,76.0,82.0,70.0,64.0
13,102.0,84.0,66.0,72.0,78.0,72.0,92.0,88.0,90.0,70.0,76.0,68.0,86.0,76.0,70.0,78.0,78.0,84.0,72.0,66.0
14,106.0,86.0,68.0,74.0,80.0,74.0,94.0,90.0,92.0,72.0,78.0,70.0,88.0,78.0,72.0,80.0,80.0,86.0,74.0,68.0
15,108.0,88.0,70.0,76.0,82.0,76.0,96.0,92.0,94.0,74.0,80.0,72.0,90.0,80.0,74.0,82.0,82.0,88.0,76.0,70.0
16,110.0,90.0,72.0,78.0,84.0,78.0,100.0,94.0,96.0,76.0,82.0,74.0,92.0,82.0,76.0,84.0,84.0,90.0,78.0,72.0
