"t","Exp1Run1","Exp1Run2","Exp1Run3","Exp1Run4","Exp1Run5","Exp2Run1","Exp2Run2","Exp2Run3","Exp2Run4","Exp2Run5","Exp3Run1","Exp3Run2","Exp3Run3","Exp3Run4","Exp3Run5","Exp4Run1","Exp4Run2","Exp4Run3","Exp4Run4","Exp4Run5","Exp5Run1","Exp5Run2","Exp5Run3","Exp5Run4","Exp5Run5","Exp6Run1","Exp6Run2","Exp6Run3","Exp6Run4","Exp6Run5","Exp7Run1","Exp7Run2","Exp7Run3","Exp7Run4","Exp7Run5","Exp8Run1","Exp8Run2","Exp8Run3","Exp8Run4","Exp8Run5","Exp9Run1","Exp9Run2","Exp9Run3","Exp9Run4","Exp9Run5"
13,0.124375,0.12775,0.135125,0.13475,0.129375,0.124375,0.119625,0.130875,0.12725,0.124,0.124375,0.142375,0.128125,0.12475,0.125,0.124375,0.14,0.12875,0.139625,0.135125,0.124375,0.12575,0.12125,0.12775,0.115875,0.124375,0.125625,0.13375,0.1185,0.128125,0.124375,0.123375,0.1335,0.12475,0.113625,0.124375,0.124125,0.116875,0.12375,0.111,0.124375,0.13025,0.124875,0.1275,0.13675
14,0.11975,0.129875,0.127875,0.130875,0.124875,0.11975,0.114125,0.125875,0.122,0.118375,0.11975,0.136,0.1135,0.12075,0.122125,0.11975,0.13225,0.123125,0.134625,0.13,0.11975,0.11875,0.11475,0.121375,0.10925,0.11975,0.11925,0.129625,0.111125,0.121125,0.11975,0.11925,0.126375,0.11925,0.1055,0.11975,0.11575,0.110875,0.1175,0.108375,0.11975,0.122375,0.115,0.125875,0.129125
15,0.1175,0.11375,0.11275,0.1275,0.10675,0.1175,0.111375,0.1235,0.118375,0.114375,0.1175,0.13,0.10725,0.10925,0.115375,0.1175,0.13,0.116875,0.133125,0.12725,0.1175,0.1135,0.109375,0.1135,0.105625,0.1175,0.114875,0.111625,0.108,0.118125,0.1175,0.115375,0.12425,0.117375,0.099625,0.1175,0.11275,0.10625,0.11375,0.097,0.1175,0.119125,0.111875,0.12275,0.127375
16,0.117375,0.106375,0.106375,0.126,0.1015,0.117375,0.11075,0.123625,0.1175,0.111625,0.117375,0.129375,0.099,0.1065,0.11325,0.117375,0.1305,0.111,0.132125,0.124625,0.117375,0.1115,0.107125,0.111625,0.10175,0.117375,0.1125,0.106625,0.1065,0.116875,0.117375,0.11425,0.12525,0.11825,0.09775,0.117375,0.111125,0.104125,0.110875,0.09275,0.117375,0.116375,0.11,0.122875,0.126125
17,0.1185,0.104625,0.101875,0.12625,0.095,0.1185,0.111,0.124375,0.117125,0.1095,0.1185,0.13,0.095125,0.10375,0.1125,0.1185,0.1305,0.109,0.132375,0.1235,0.1185,0.111625,0.106625,0.109125,0.099375,0.1185,0.111875,0.10475,0.104125,0.117,0.1185,0.114125,0.126875,0.116125,0.096375,0.1185,0.10925,0.102875,0.11075,0.089375,0.1185,0.11525,0.107375,0.12425,0.125
18,0.119875,0.105,0.097125,0.1275,0.090375,0.119875,0.1105,0.12625,0.117,0.10825,0.119875,0.13,0.092875,0.102875,0.112125,0.119875,0.131625,0.107,0.132625,0.124,0.119875,0.11125,0.10475,0.108875,0.0972499999999999,0.119875,0.111,0.103,0.103375,0.11725,0.119875,0.114125,0.127875,0.116375,0.0892500000000001,0.119875,0.10825,0.10175,0.109625,0.0885,0.119875,0.115625,0.10775,0.124375,0.125
19,0.1195,0.103875,0.094625,0.127625,0.088,0.1195,0.112125,0.125625,0.117,0.107125,0.1195,0.130625,0.08975,0.10125,0.1125,0.1195,0.1345,0.104125,0.134625,0.124875,0.1195,0.1115,0.103625,0.106375,0.0945,0.1195,0.112,0.09875,0.10325,0.1165,0.1195,0.113125,0.129,0.116125,0.08625,0.1195,0.108625,0.10025,0.10925,0.085375,0.1195,0.11525,0.106875,0.12475,0.125625
20,0.119125,0.10275,0.092375,0.127875,0.08425,0.119125,0.111375,0.125875,0.116875,0.105,0.119125,0.130875,0.0875,0.10075,0.111375,0.119125,0.134125,0.103125,0.135,0.125,0.119125,0.11025,0.102875,0.105375,0.091375,0.119125,0.11125,0.09875,0.101625,0.115625,0.119125,0.11375,0.13,0.115625,0.082875,0.119125,0.10725,0.098625,0.107375,0.084,0.119125,0.1145,0.105875,0.125,0.12625
21,0.118875,0.10025,0.0895,0.126875,0.083,0.118875,0.1095,0.1255,0.11675,0.103875,0.118875,0.129875,0.08325,0.098125,0.11025,0.118875,0.135375,0.100875,0.1345,0.125,0.118875,0.109625,0.101125,0.106,0.089875,0.118875,0.109625,0.09675,0.1005,0.11375,0.118875,0.1105,0.13025,0.115,0.081,0.118875,0.106,0.097625,0.105375,0.0806249999999999,0.118875,0.113875,0.10475,0.12475,0.125125
22,0.11925,0.096875,0.084125,0.1255,0.0766250000000001,0.11925,0.106375,0.12425,0.11525,0.100125,0.11925,0.1285,0.079,0.095625,0.107625,0.11925,0.13475,0.098125,0.134,0.1235,0.11925,0.1075,0.1015,0.102375,0.08625,0.11925,0.10725,0.0932500000000001,0.09775,0.11225,0.11925,0.10825,0.129625,0.1135,0.075,0.11925,0.103625,0.0945,0.1035,0.07725,0.11925,0.111125,0.102625,0.1225,0.125
23,0.116875,0.094875,0.080125,0.124375,0.07275,0.116875,0.104125,0.12425,0.11275,0.098,0.116875,0.1265,0.0756250000000001,0.091625,0.1055,0.116875,0.1335,0.093875,0.133875,0.122,0.116875,0.104625,0.0972499999999999,0.099125,0.08325,0.116875,0.105625,0.0905,0.09475,0.109375,0.116875,0.107375,0.128625,0.1125,0.07175,0.116875,0.1005,0.0915,0.102125,0.074375,0.116875,0.111,0.09975,0.121,0.1235
