"t","Exp1Run1","Exp1Run2","Exp1Run3","Exp1Run4","Exp1Run5","Exp2Run1","Exp2Run2","Exp2Run3","Exp2Run4","Exp2Run5","Exp3Run1","Exp3Run2","Exp3Run3","Exp3Run4","Exp3Run5","Exp4Run1","Exp4Run2","Exp4Run3","Exp4Run4","Exp4Run5","Exp5Run1","Exp5Run2","Exp5Run3","Exp5Run4","Exp5Run5","Exp6Run1","Exp6Run2","Exp6Run3","Exp6Run4","Exp6Run5","Exp7Run1","Exp7Run2","Exp7Run3","Exp7Run4","Exp7Run5","Exp8Run1","Exp8Run2","Exp8Run3","Exp8Run4","Exp8Run5","Exp9Run1","Exp9Run2","Exp9Run3","Exp9Run4","Exp9Run5"
21,41832.8691153973,42999.8162479185,43894.9810940327,41517.0895637907,44319.9285194186,41832.8691153973,42419.2051031634,41498.6249113253,42049.4306934398,42858.470624535,41832.8691153973,41343.8738452047,44215.029920564,43215.4970340581,42443.9275745756,41832.8691153973,40946.0775229117,43165.0933293102,41017.3720869462,41539.0399723149,41832.8691153973,42454.1264930261,42906.8759402695,42770.7437170582,43757.5787771398,41832.8691153973,42451.9933255242,43310.6548240173,42956.6984271685,42281.4453824095,41832.8691153973,42463.2334296943,41160.0552364178,42084.1714396584,44328.9994594394,41832.8691153973,42687.1548099396,43234.543012273,42769.2883494147,44279.8348075163,41832.8691153973,42262.5839259032,42721.9898482652,41561.8725077132,41585.4829733864
22,41855.0717146134,43217.3232872476,44191.7635442885,41583.8605981387,44630.6628275331,41855.0717146134,42659.7827365323,41561.1244804245,42152.8617906974,43123.851586555,41855.0717146134,41440.5346687422,44454.8575188445,43363.1517999142,42610.7502012923,41855.0717146134,41000.1262986239,43278.9171938547,41025.9816346922,41638.1399746609,41855.0717146134,42593.7578079879,42991.5042401589,42950.6176819881,43953.672773697,41855.0717146134,42603.8801373949,43512.034047165,43138.8817947057,42385.0741584946,41855.0717146134,42583.7737645985,41237.6872407888,42199.916562715,44661.2891929822,41855.0717146134,42821.1979687796,43415.8816406152,42834.1165371004,44456.5285947689,41855.0717146134,42417.1576463639,42835.4597921677,41720.1756555735,41567.7068410736
23,41955.8763729306,43321.2105814041,44406.6174166591,41633.1845251739,44879.610915757,41955.8763729306,42774.2821375567,41576.1326593065,42268.3689342487,43235.4753097001,41955.8763729306,41554.0818576165,44566.5370096616,43564.7851288531,42727.6196806523,41955.8763729306,41092.0934674414,43553.0110348765,41018.1107430817,41724.8059981067,41955.8763729306,42738.300363022,43217.4285170763,43068.4105276035,44037.6373255387,41955.8763729306,42641.703766887,43660.7895990931,43338.4801674513,42521.0932851171,41955.8763729306,42603.9375774276,41299.2766799442,42225.1904360803,44805.9954377691,41955.8763729306,43011.4132096447,43573.8446412423,42926.7729942546,44668.3793948897,41955.8763729306,42412.3285507595,42986.1072111588,41861.5914108912,41671.0667034297
24,38273.5485366031,39681.2384428259,40605.6930344838,37873.198197375,41105.9081748515,38273.5485366031,39055.0306951456,37876.7963190867,38461.3848919116,39509.1034490804,38273.5485366031,37658.0771635258,40837.7264745449,39635.051918546,38903.0288725588,38273.5485366031,37327.3667159898,39691.0717012486,37324.5395894197,37899.8740842693,38273.5485366031,38833.3524890834,39398.764943941,39193.45555665,40093.6161348455,38273.5485366031,38943.2335111481,39798.5164221659,39600.195934826,38731.885642051,38273.5485366031,38837.0465844454,37699.6257611744,38582.6001522063,40957.8010776539,38273.5485366031,39176.6022261894,39707.5391227638,39092.8158537825,40965.7771675231,38273.5485366031,38715.2215592553,39146.3092977041,38035.3620952561,37843.1130981363
25,35072.3791218789,37078.0587661102,37979.3451504786,34857.593883952,38221.1176546913,35072.3791218789,35764.5843998404,34557.5809313324,35144.0536559912,36341.1307018375,35072.3791218789,34930.2264543322,37912.356167671,36588.2094348583,35822.6086836347,35072.3791218789,33774.7178315923,36872.2000619349,34171.2567390648,34670.3791777228,35072.3791218789,35845.3777045764,36253.538984618,35833.8404019968,37265.386427765,35072.3791218789,35645.5522053045,36778.0974233976,36227.2406827704,35437.8158482085,35072.3791218789,35548.5014726391,34157.8400191114,35153.7935307879,38029.2509967023,35072.3791218789,35968.833983246,36744.7963928128,36509.0104946935,38106.9350029438,35072.3791218789,35429.4172680623,35867.4482060735,34435.9976301186,34402.6117171143
26,38664.1566396215,40916.512939985,42043.7204331308,38654.7584079758,42259.1059340327,38664.1566396215,39479.9090970837,38127.6388256812,38988.4666016634,40054.935778433,38664.1566396215,38762.9426947051,41875.9742020342,40436.1423108707,39568.2240784633,38664.1566396215,37509.3497631422,40570.7241404937,37726.5443217489,38394.1590584306,38664.1566396215,39548.0506181371,39986.3662587797,39524.4600316842,41091.2708528141,38664.1566396215,39394.0416763781,40647.2833537604,40029.8173211218,39076.2488563199,38664.1566396215,39172.7628988215,37699.70161692,38921.4191626486,42037.305396905,38664.1566396215,39739.819228013,40592.6841442716,40382.9850139497,42164.4326742755,38664.1566396215,39111.7480347954,39639.8286065518,38099.27894218,38043.3726182935
27,39801.3862925241,41003.8520519418,42725.9987645456,39367.431041751,43572.6599694489,39801.3862925241,40605.7052156801,39171.826176833,39991.3612998862,41083.1968447281,39801.3862925241,39272.455980935,43059.9190033396,41384.8894433876,40386.3879428277,39801.3862925241,38614.7712684381,41580.8230855112,38453.2878433596,39363.6028546346,39801.3862925241,40542.864639775,40832.9989662977,40811.6245193207,42042.7750097167,39801.3862925241,40248.3499830062,41829.1719920605,41510.1713868193,40336.1169162035,39801.3862925241,40629.9878828749,38823.6286736016,40188.5849810731,43052.7922491486,39801.3862925241,40777.6287209775,41571.1146564693,40856.4302832261,43365.4422768496,39801.3862925241,40089.9494302445,41217.5846153493,39905.6414057068,39525.3837150543
28,40115.8091152562,41197.4766577807,42936.3158208051,39605.7597066244,43958.6491182465,40115.8091152562,40882.547353899,39470.3804565262,40167.6633446651,41414.7097827615,40115.8091152562,39450.1437953862,43454.2328209859,41822.4688153249,40686.585800463,40115.8091152562,38815.1083848515,41870.9924259882,38798.3107406638,39670.618428311,40115.8091152562,40903.158448408,41178.6614175868,41063.3440274327,42250.5694113628,40115.8091152562,40520.1294566034,42160.3521412593,41754.7793666938,40656.0744083397,40115.8091152562,41018.9113392583,39087.7251676736,40528.6056391594,43374.6219941836,40115.8091152562,41100.2071624441,41842.7561057379,40993.1951303417,43715.4678726626,40115.8091152562,40351.3626811097,41627.4157109276,40459.1129906364,39885.6999108302
29,41343.067680666,43052.8523710882,44362.0357802223,41092.9378442414,45271.2333032844,41343.067680666,42206.3913885395,40905.997145294,41508.5748431318,42797.5883195206,41343.067680666,41174.731709055,44766.1530477584,43163.5822525584,42107.1585009729,41343.067680666,40167.5160103088,42955.8198405088,40352.3425512901,41064.4103524116,41343.067680666,42257.2584650213,42629.8166181754,42274.0151350158,43496.0604747452,41343.067680666,41899.2633520396,43468.2407297539,42816.7482095739,41663.0816284005,41343.067680666,42134.16978107,40378.9844606138,41682.5444138879,44858.2463481796,41343.067680666,42378.4934070825,43250.1974238513,42575.9154902758,45201.2105492997,41343.067680666,41755.1686344219,42623.7753101938,41357.6387658693,41063.6629208696
30,41389.0805307883,43208.7101688724,44746.5686185981,41312.6607040254,45597.4984434751,41389.0805307883,42346.4270430635,41047.4148960447,41733.3199600516,42979.8517013478,41389.0805307883,41314.9224982987,45079.4319504578,43270.3157253071,42339.0316245755,41389.0805307883,40363.5453745215,43138.7742600132,40432.7333024885,41273.189759275,41389.0805307883,42427.8703644417,42802.7846820931,42439.1281549113,43814.6137383772,41389.0805307883,42036.8406358116,43676.4955667238,43064.7628124255,41837.2827879709,41389.0805307883,42298.5478197207,40616.4000095157,41919.7905409213,45067.0283271789,41389.0805307883,42544.5743584071,43418.0058824671,42798.02175349,45542.7698171859,41389.0805307883,41876.6019972218,42840.9864922745,41551.6665588294,41176.3210969909
